2025-02-23 12:53:39,898 | root | INFO | step: 100, train_loss: 0.6501
2025-02-23 12:53:57,799 | root | INFO | step: 200, train_loss: 0.6128
2025-02-23 12:54:15,960 | root | INFO | step: 300, train_loss: 0.5146
2025-02-23 12:54:34,347 | root | INFO | step: 400, train_loss: 0.2689
2025-02-23 12:54:52,883 | root | INFO | step: 500, train_loss: 0.5199
2025-02-23 12:55:11,560 | root | INFO | step: 600, train_loss: 0.4714
2025-02-23 12:55:30,305 | root | INFO | step: 700, train_loss: 0.3118
2025-02-23 12:55:49,132 | root | INFO | step: 800, train_loss: 0.5400
2025-02-23 12:56:08,062 | root | INFO | step: 900, train_loss: 0.5157
2025-02-23 12:56:27,086 | root | INFO | step: 1000, train_loss: 0.1561
2025-02-23 12:56:46,143 | root | INFO | step: 1100, train_loss: 0.4809
2025-02-23 12:57:05,226 | root | INFO | step: 1200, train_loss: 0.1607
2025-02-23 12:57:24,341 | root | INFO | step: 1300, train_loss: 0.3682
2025-02-23 12:57:43,480 | root | INFO | step: 1400, train_loss: 0.2434
2025-02-23 12:58:02,650 | root | INFO | step: 1500, train_loss: 0.3432
2025-02-23 12:58:21,838 | root | INFO | step: 1600, train_loss: 0.0750
2025-02-23 12:58:41,040 | root | INFO | step: 1700, train_loss: 0.1823
2025-02-23 12:59:00,252 | root | INFO | step: 1800, train_loss: 0.0827
2025-02-23 12:59:19,460 | root | INFO | step: 1900, train_loss: 0.4356
2025-02-23 12:59:38,685 | root | INFO | step: 2000, train_loss: 0.2617
2025-02-23 12:59:57,911 | root | INFO | step: 2100, train_loss: 0.3869
2025-02-23 13:00:17,146 | root | INFO | step: 2200, train_loss: 0.3013
2025-02-23 13:00:36,390 | root | INFO | step: 2300, train_loss: 0.0835
2025-02-23 13:00:55,639 | root | INFO | step: 2400, train_loss: 0.2737
2025-02-23 13:01:14,927 | root | INFO | step: 2500, train_loss: 0.5920
2025-02-23 13:01:39,608 | root | INFO | valid_loss: 0.2232, valid_acc: 0.9104
2025-02-23 13:01:53,537 | root | INFO | step: 2600, train_loss: 0.4676
2025-02-23 13:02:12,886 | root | INFO | step: 2700, train_loss: 0.2527
2025-02-23 13:02:32,255 | root | INFO | step: 2800, train_loss: 0.1700
2025-02-23 13:02:51,616 | root | INFO | step: 2900, train_loss: 0.1970
2025-02-23 13:03:10,981 | root | INFO | step: 3000, train_loss: 0.0947
2025-02-23 13:03:30,358 | root | INFO | step: 3100, train_loss: 0.0738
2025-02-23 13:03:49,736 | root | INFO | step: 3200, train_loss: 0.0800
2025-02-23 13:04:09,110 | root | INFO | step: 3300, train_loss: 0.1482
2025-02-23 13:04:28,489 | root | INFO | step: 3400, train_loss: 0.1435
2025-02-23 13:04:47,869 | root | INFO | step: 3500, train_loss: 0.0562
2025-02-23 13:05:07,244 | root | INFO | step: 3600, train_loss: 0.0253
2025-02-23 13:05:26,614 | root | INFO | step: 3700, train_loss: 0.4733
2025-02-23 13:05:45,993 | root | INFO | step: 3800, train_loss: 0.1541
2025-02-23 13:06:05,370 | root | INFO | step: 3900, train_loss: 0.1045
2025-02-23 13:06:24,740 | root | INFO | step: 4000, train_loss: 0.1176
2025-02-23 13:06:44,123 | root | INFO | step: 4100, train_loss: 0.1216
2025-02-23 13:07:03,502 | root | INFO | step: 4200, train_loss: 0.2928
2025-02-23 13:07:22,882 | root | INFO | step: 4300, train_loss: 0.2485
2025-02-23 13:07:42,259 | root | INFO | step: 4400, train_loss: 0.2834
2025-02-23 13:08:01,634 | root | INFO | step: 4500, train_loss: 0.0585
2025-02-23 13:08:21,013 | root | INFO | step: 4600, train_loss: 0.0732
2025-02-23 13:08:40,388 | root | INFO | step: 4700, train_loss: 0.2785
2025-02-23 13:08:59,767 | root | INFO | step: 4800, train_loss: 0.0646
2025-02-23 13:09:19,153 | root | INFO | step: 4900, train_loss: 0.0846
2025-02-23 13:09:38,534 | root | INFO | step: 5000, train_loss: 0.0924
2025-02-23 13:10:09,465 | root | INFO | valid_loss: 0.1604, valid_acc: 0.9391
2025-02-23 13:10:17,117 | root | INFO | step: 5100, train_loss: 0.0407
2025-02-23 13:10:36,505 | root | INFO | step: 5200, train_loss: 0.1028
2025-02-23 13:10:55,887 | root | INFO | step: 5300, train_loss: 0.0565
2025-02-23 13:11:15,267 | root | INFO | step: 5400, train_loss: 0.2200
2025-02-23 13:11:34,649 | root | INFO | step: 5500, train_loss: 0.0752
2025-02-23 13:11:54,025 | root | INFO | step: 5600, train_loss: 0.1157
2025-02-23 13:12:13,402 | root | INFO | step: 5700, train_loss: 0.0314
2025-02-23 13:12:32,789 | root | INFO | step: 5800, train_loss: 0.0249
2025-02-23 13:12:52,176 | root | INFO | step: 5900, train_loss: 0.2885
2025-02-23 13:13:11,556 | root | INFO | step: 6000, train_loss: 0.4195
2025-02-23 13:13:30,943 | root | INFO | step: 6100, train_loss: 0.0823
2025-02-23 13:13:50,317 | root | INFO | step: 6200, train_loss: 0.1195
2025-02-23 13:14:09,695 | root | INFO | step: 6300, train_loss: 0.0423
2025-02-23 13:14:29,081 | root | INFO | step: 6400, train_loss: 0.0440
2025-02-23 13:14:48,470 | root | INFO | step: 6500, train_loss: 0.2910
2025-02-23 13:15:07,851 | root | INFO | step: 6600, train_loss: 0.0202
2025-02-23 13:15:27,237 | root | INFO | step: 6700, train_loss: 0.0577
2025-02-23 13:15:46,638 | root | INFO | step: 6800, train_loss: 0.1429
2025-02-23 13:16:06,019 | root | INFO | step: 6900, train_loss: 0.1475
2025-02-23 13:16:25,399 | root | INFO | step: 7000, train_loss: 0.0687
2025-02-23 13:16:44,788 | root | INFO | step: 7100, train_loss: 0.0420
2025-02-23 13:17:04,178 | root | INFO | step: 7200, train_loss: 0.0759
2025-02-23 13:17:23,569 | root | INFO | step: 7300, train_loss: 0.1096
2025-02-23 13:17:42,959 | root | INFO | step: 7400, train_loss: 0.0250
2025-02-23 13:18:02,349 | root | INFO | step: 7500, train_loss: 0.1393
2025-02-23 13:18:39,519 | root | INFO | valid_loss: 0.1026, valid_acc: 0.9660
2025-02-23 13:18:41,041 | root | INFO | step: 7600, train_loss: 0.0319
2025-02-23 13:19:00,433 | root | INFO | step: 7700, train_loss: 0.0180
2025-02-23 13:19:19,827 | root | INFO | step: 7800, train_loss: 0.0712
2025-02-23 13:19:39,224 | root | INFO | step: 7900, train_loss: 0.0840
2025-02-23 13:19:58,619 | root | INFO | step: 8000, train_loss: 0.0213
2025-02-23 13:20:18,023 | root | INFO | step: 8100, train_loss: 0.0650
