2025-02-22 20:12:35,663 | root | INFO | step: 0, train_loss: 0.0114
2025-02-22 20:12:52,931 | root | INFO | step: 100, train_loss: 0.0120
2025-02-22 20:13:10,465 | root | INFO | step: 200, train_loss: 0.0103
2025-02-22 20:13:28,244 | root | INFO | step: 300, train_loss: 0.0118
2025-02-22 20:13:46,255 | root | INFO | step: 400, train_loss: 0.0107
2025-02-22 20:14:04,411 | root | INFO | step: 500, train_loss: 0.0108
2025-02-22 20:14:22,679 | root | INFO | step: 600, train_loss: 0.0110
2025-02-22 20:14:41,103 | root | INFO | step: 700, train_loss: 0.0102
2025-02-22 20:14:59,598 | root | INFO | step: 800, train_loss: 0.0093
2025-02-22 20:15:18,145 | root | INFO | step: 900, train_loss: 0.0090
2025-02-22 20:15:36,712 | root | INFO | step: 1000, train_loss: 0.0097
2025-02-22 20:15:55,334 | root | INFO | step: 1100, train_loss: 0.0087
2025-02-22 20:16:14,055 | root | INFO | step: 1200, train_loss: 0.0103
2025-02-22 20:16:32,848 | root | INFO | step: 1300, train_loss: 0.0074
2025-02-22 20:16:51,643 | root | INFO | step: 1400, train_loss: 0.0062
2025-02-22 20:17:10,467 | root | INFO | step: 1500, train_loss: 0.0081
2025-02-22 20:17:29,310 | root | INFO | step: 1600, train_loss: 0.0076
2025-02-22 20:17:48,167 | root | INFO | step: 1700, train_loss: 0.0061
2025-02-22 20:18:07,049 | root | INFO | step: 1800, train_loss: 0.0105
2025-02-22 20:18:25,929 | root | INFO | step: 1900, train_loss: 0.0104
2025-02-22 20:18:44,834 | root | INFO | step: 2000, train_loss: 0.0076
2025-02-22 20:19:03,736 | root | INFO | step: 2100, train_loss: 0.0080
2025-02-22 20:19:22,655 | root | INFO | step: 2200, train_loss: 0.0059
2025-02-22 20:19:41,572 | root | INFO | step: 2300, train_loss: 0.0097
2025-02-22 20:20:00,505 | root | INFO | step: 2400, train_loss: 0.0071
2025-02-22 20:20:19,441 | root | INFO | step: 2500, train_loss: 0.0096
2025-02-22 20:20:43,864 | root | INFO | valid_loss: 0.5039, valid_acc: 0.7604
2025-02-22 20:20:49,779 | root | INFO | step: 0, train_loss: 0.0095
2025-02-22 20:21:08,581 | root | INFO | step: 100, train_loss: 0.0081
2025-02-22 20:21:27,447 | root | INFO | step: 200, train_loss: 0.0077
2025-02-22 20:21:46,343 | root | INFO | step: 300, train_loss: 0.0058
2025-02-22 20:22:05,277 | root | INFO | step: 400, train_loss: 0.0070
2025-02-22 20:22:24,201 | root | INFO | step: 500, train_loss: 0.0076
2025-02-22 20:22:43,147 | root | INFO | step: 600, train_loss: 0.0095
2025-02-22 20:23:02,077 | root | INFO | step: 700, train_loss: 0.0045
2025-02-22 20:23:21,029 | root | INFO | step: 800, train_loss: 0.0107
2025-02-22 20:23:39,989 | root | INFO | step: 900, train_loss: 0.0050
2025-02-22 20:23:58,926 | root | INFO | step: 1000, train_loss: 0.0074
2025-02-22 20:24:17,892 | root | INFO | step: 1100, train_loss: 0.0080
2025-02-22 20:24:36,849 | root | INFO | step: 1200, train_loss: 0.0087
2025-02-22 20:24:55,815 | root | INFO | step: 1300, train_loss: 0.0041
2025-02-22 20:25:14,764 | root | INFO | step: 1400, train_loss: 0.0099
2025-02-22 20:25:33,726 | root | INFO | step: 1500, train_loss: 0.0073
2025-02-22 20:25:52,693 | root | INFO | step: 1600, train_loss: 0.0077
2025-02-22 20:26:11,652 | root | INFO | step: 1700, train_loss: 0.0056
2025-02-22 20:26:30,625 | root | INFO | step: 1800, train_loss: 0.0034
2025-02-22 20:26:49,587 | root | INFO | step: 1900, train_loss: 0.0102
2025-02-22 20:27:08,553 | root | INFO | step: 2000, train_loss: 0.0043
2025-02-22 20:27:27,513 | root | INFO | step: 2100, train_loss: 0.0048
2025-02-22 20:27:46,501 | root | INFO | step: 2200, train_loss: 0.0094
2025-02-22 20:28:05,459 | root | INFO | step: 2300, train_loss: 0.0082
2025-02-22 20:28:24,430 | root | INFO | step: 2400, train_loss: 0.0100
2025-02-22 20:28:43,404 | root | INFO | step: 2500, train_loss: 0.0052
2025-02-22 20:29:07,835 | root | INFO | valid_loss: 0.3728, valid_acc: 0.8309
2025-02-22 20:29:13,635 | root | INFO | step: 0, train_loss: 0.0114
2025-02-22 20:29:32,485 | root | INFO | step: 100, train_loss: 0.0041
2025-02-22 20:29:51,410 | root | INFO | step: 200, train_loss: 0.0074
2025-02-22 20:30:10,323 | root | INFO | step: 300, train_loss: 0.0033
2025-02-22 20:30:29,263 | root | INFO | step: 400, train_loss: 0.0054
2025-02-22 20:30:48,200 | root | INFO | step: 500, train_loss: 0.0076
2025-02-22 20:31:07,164 | root | INFO | step: 600, train_loss: 0.0017
2025-02-22 20:31:26,116 | root | INFO | step: 700, train_loss: 0.0046
2025-02-22 20:31:45,093 | root | INFO | step: 800, train_loss: 0.0057
2025-02-22 20:32:04,065 | root | INFO | step: 900, train_loss: 0.0021
2025-02-22 20:32:23,029 | root | INFO | step: 1000, train_loss: 0.0041
2025-02-22 20:32:42,005 | root | INFO | step: 1100, train_loss: 0.0015
2025-02-22 20:33:00,958 | root | INFO | step: 1200, train_loss: 0.0074
2025-02-22 20:33:19,938 | root | INFO | step: 1300, train_loss: 0.0055
2025-02-22 20:33:38,900 | root | INFO | step: 1400, train_loss: 0.0040
2025-02-22 20:33:57,883 | root | INFO | step: 1500, train_loss: 0.0034
2025-02-22 20:34:16,850 | root | INFO | step: 1600, train_loss: 0.0052
2025-02-22 20:34:35,798 | root | INFO | step: 1700, train_loss: 0.0054
2025-02-22 20:34:54,760 | root | INFO | step: 1800, train_loss: 0.0021
2025-02-22 20:35:13,704 | root | INFO | step: 1900, train_loss: 0.0051
2025-02-22 20:35:32,665 | root | INFO | step: 2000, train_loss: 0.0029
2025-02-22 20:35:51,606 | root | INFO | step: 2100, train_loss: 0.0021
2025-02-22 20:36:10,568 | root | INFO | step: 2200, train_loss: 0.0037
2025-02-22 20:36:29,511 | root | INFO | step: 2300, train_loss: 0.0025
2025-02-22 20:36:48,462 | root | INFO | step: 2400, train_loss: 0.0082
2025-02-22 20:37:07,421 | root | INFO | step: 2500, train_loss: 0.0069
2025-02-22 20:37:31,848 | root | INFO | valid_loss: 0.3074, valid_acc: 0.8613
2025-02-22 20:37:35,941 | root | INFO | step: 0, train_loss: 0.0057
2025-02-22 20:37:54,836 | root | INFO | step: 100, train_loss: 0.0039
2025-02-22 20:38:13,774 | root | INFO | step: 200, train_loss: 0.0018
2025-02-22 20:38:32,709 | root | INFO | step: 300, train_loss: 0.0045
2025-02-22 20:38:51,673 | root | INFO | step: 400, train_loss: 0.0062
2025-02-22 20:39:10,631 | root | INFO | step: 500, train_loss: 0.0024
2025-02-22 20:39:29,609 | root | INFO | step: 600, train_loss: 0.0068
2025-02-22 20:39:48,574 | root | INFO | step: 700, train_loss: 0.0079
2025-02-22 20:40:07,566 | root | INFO | step: 800, train_loss: 0.0055
2025-02-22 20:40:26,555 | root | INFO | step: 900, train_loss: 0.0060
2025-02-22 20:40:45,532 | root | INFO | step: 1000, train_loss: 0.0045
2025-02-22 20:41:04,516 | root | INFO | step: 1100, train_loss: 0.0020
2025-02-22 20:41:23,479 | root | INFO | step: 1200, train_loss: 0.0024
2025-02-22 20:41:42,450 | root | INFO | step: 1300, train_loss: 0.0063
2025-02-22 20:42:01,398 | root | INFO | step: 1400, train_loss: 0.0038
2025-02-22 20:42:20,354 | root | INFO | step: 1500, train_loss: 0.0033
2025-02-22 20:42:39,311 | root | INFO | step: 1600, train_loss: 0.0076
